Steven Spielberg;7078535838;283141433
Peter Jackson;5205642820;578404757
James Cameron;5136669439;733809919
Michael Bay;4422524638;368543719
Christopher Nolan;3222483234;402810404
Chris Columbus;3098631503;281693773
George Lucas;2979336893;595867378
Robert Zemeckis;2600622002;200047846
Joss Whedon;2424831068;808277022
Francis Lawrence;2349457182;469891436
Tim Burton;2340418241;167172731
Sam Raimi;2208951462;200813769
Carlos Saldanha;2169451792;542362948
James Wan;2091614787;298802112
Gore Verbinski;2070013357;295716193
Sam Mendes;2049548809;292792687
Andrew Adamson;1991859447;398371889
Ron Howard;1841569213;153464101
Jon Favreau;1801854232;300309038
Ridley Scott;1788888457;119259230
